F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,label
-37,15,67,82,89,107,149,84,49,-5,2,-37,60,-2,23,12,197,81,148,23,194,224,226,160,SHORT
-11,19,36,55,44,67,76,64,2,17,6,-11,12,6,18,-9,52,35,56,1,23,47,56,41,SHORT
-31,22,31,53,55,44,67,76,-11,-36,-34,-31,-9,-19,-28,-42,1,-30,-16,-40,41,-1,22,-30,SHORT
82,85,1,86,37,37,52,54,-11,46,-3,82,-43,37,-12,71,3,40,6,39,-41,35,3,85,LONG
-13,8,15,23,38,33,42,45,-5,-15,0,-13,4,-9,1,-18,18,-4,15,-9,18,-6,16,5,SHORT
31,48,46,94,98,171,103,216,-4,16,20,31,-90,-18,59,27,-61,-43,-34,-59,-219,-181,-59,-30,LONG
99,106,45,151,94,98,171,103,31,98,41,99,27,114,61,130,-59,80,100,126,-30,55,7,40,LONG
199,216,6,222,91,93,162,123,-24,158,27,199,-14,156,27,175,-118,87,27,185,-86,25,-74,81,LONG
-26,49,27,76,69,132,218,222,3,-55,-62,-26,29,-93,-37,-23,207,-6,136,3,406,202,348,181,SHORT
3,13,56,69,132,218,222,91,26,-38,25,3,204,49,198,29,403,257,410,207,379,415,437,406,SHORT
-29,7,61,68,48,83,135,46,-8,-5,-25,-29,62,14,29,-37,178,88,155,33,141,169,147,149,SHORT
-94,59,99,158,67,77,37,67,-9,-16,-107,-94,14,-22,-103,-103,32,19,-102,-80,12,13,-78,-62,SHORT
62,76,3,79,70,67,65,115,-4,35,26,62,-5,18,6,58,48,49,35,57,-31,7,43,110,LONG
-105,2,120,122,189,45,67,66,145,-29,38,-105,149,148,71,40,186,154,99,44,239,201,145,81,SHORT
22,24,5,29,79,14,50,19,41,-6,44,22,35,55,40,63,-9,18,39,57,-24,-1,-11,13,LONG
-114,8,116,124,58,68,66,63,16,0,-66,-114,29,-25,-81,-98,45,-12,-70,-85,87,42,-19,-69,SHORT
17,33,18,51,68,46,90,83,36,27,44,17,7,42,37,53,-53,-20,19,24,-87,-85,-53,-36,LONG
36,44,4,48,35,57,63,56,5,16,3,36,-16,-6,3,41,-36,-32,-17,20,-55,-36,-28,0,LONG
12,26,3,29,46,40,30,34,-4,6,23,12,-2,-2,9,8,-12,-10,-9,10,-1,1,6,0,LONG
-27,9,53,62,63,54,76,79,28,0,1,-27,-7,15,7,1,33,13,27,-34,60,45,62,6,SHORT
15,27,5,32,62,63,54,76,-27,-33,-3,15,1,-33,-2,-12,-34,-18,4,16,6,-20,24,-19,SHORT
143,170,5,175,117,113,117,73,5,125,67,143,-62,54,-8,148,-83,65,7,81,-99,33,-69,60,LONG
-13,10,55,65,60,67,83,75,-24,-16,-21,-13,33,12,14,-37,49,53,71,20,48,71,81,36,SHORT
-13,15,15,30,59,32,31,40,42,-8,21,-13,71,41,43,29,91,69,70,58,69,66,76,78,SHORT
