open,high,low,close,range,m.open,m.high,m.low,m.close,m.range,tal
1.07395,1.07415,1.07385,1.0741,0.0003,0.00015,5e-05,5e-05,0.00015,0.0,13
1.07395,1.07415,1.07385,1.0741,0.0003,0.00015,5e-05,5e-05,0.00015,0.0,13
1.0742,1.07425,1.074,1.07405,0.00025,-5e-05,-5e-05,-0.00015,-0.00015,0.0001,13
1.07455,1.0751,1.0745,1.07495,0.0006,0.0001,0.00025,5e-05,0.0004,0.0002,13
1.07495,1.07535,1.07495,1.07515,0.0004,0.0004,0.00025,0.00045,0.0002,-0.0002,13
1.0753,1.0753,1.0747,1.07495,0.0006,0.00015,-0.0001,-0.00045,-0.00035,0.00035,13
1.07565,1.07725,1.07565,1.07695,0.0016,0.0003,0.00155,0.0006,0.0013,0.00095,13
1.0778,1.07795,1.0773,1.0777,0.00065,0.00085,0.0001,0.0005,-0.0001,-0.0004,13
1.0777,1.07845,1.0776,1.078,0.00085,-0.0001,0.0005,0.0003,0.0003,0.0002,13
1.07855,1.07875,1.07785,1.0782,0.0009,-0.0001,0.0,0.0001,-0.00035,-0.0001,13
1.0782,1.0784,1.07785,1.078,0.00055,-0.00035,-0.00035,0.0,-0.0002,-0.00035,13
1.07735,1.07735,1.07665,1.0768,0.0007,5e-05,-0.0002,-0.00045,-0.00055,0.00025,13
1.0767,1.07675,1.07615,1.0763,0.0006,-0.0001,-0.0005,-0.00045,-0.0004,-5e-05,13
1.07685,1.07715,1.0764,1.07645,0.00075,0.00055,0.0,0.00015,-0.0004,-0.00015,13
1.07645,1.07655,1.07605,1.0764,0.0005,-0.0004,-0.0006,-0.00035,-5e-05,-0.00025,13
1.0764,1.0769,1.0764,1.0766,0.0005,-5e-05,0.00035,0.00035,0.0002,0.0,13
1.0766,1.0769,1.07645,1.0768,0.00045,0.0002,0.0,5e-05,0.0002,-5e-05,13
1.0766,1.0769,1.07645,1.0768,0.00045,0.0002,0.0,5e-05,0.0002,-5e-05,13
1.07585,1.076,1.075,1.0751,0.001,0.00055,-0.0002,-0.00025,-0.00075,5e-05,13
1.0751,1.07565,1.07505,1.07545,0.0006,-0.00075,-0.00035,5e-05,0.00035,-0.0004,13
1.07545,1.07555,1.0745,1.07475,0.00105,0.00035,-0.0001,-0.00055,-0.0007,0.00045,13
1.07475,1.07565,1.07445,1.07555,0.0012,-0.0007,0.0001,-5e-05,0.0008,0.00015,13
1.07535,1.0754,1.0745,1.0746,0.0009,-0.0001,-0.0001,-0.0004,-0.00075,0.0003,13
1.07445,1.07495,1.0744,1.0749,0.00055,-0.00035,0.0001,0.0,0.00045,0.0001,13
1.07445,1.07495,1.0744,1.0749,0.00055,-0.00035,0.0001,0.0,0.00045,0.0001,13
1.0749,1.0752,1.0747,1.07485,0.0005,0.00045,0.00025,0.0003,-5e-05,-5e-05,13
1.07505,1.0752,1.07455,1.0747,0.00065,0.0002,5e-05,-0.0001,-0.00035,0.00015,13
1.07485,1.07545,1.07485,1.07535,0.0006,0.00015,0.00055,0.00035,0.0005,0.0002,13
1.07535,1.0756,1.0752,1.07545,0.0004,0.0005,0.00015,0.00035,0.0001,-0.0002,13
1.07545,1.0756,1.07505,1.0751,0.00055,0.0001,0.0,-0.00015,-0.00035,0.00015,13
1.07825,1.0783,1.0781,1.0782,0.0002,0.00045,5e-05,0.0003,-5e-05,-0.00025,29
1.0782,1.07895,1.07815,1.0789,0.0008,-5e-05,0.00065,5e-05,0.0007,0.0006,29
1.0789,1.07945,1.07885,1.0794,0.0006,0.0007,0.0005,0.0007,0.0005,-0.0002,29
1.0794,1.07965,1.0792,1.0795,0.00045,0.0005,0.0002,0.00035,0.0001,-0.00015,29
1.07945,1.07975,1.07915,1.0794,0.0006,0.00115,0.0002,0.001,-5e-05,-0.0008,29
1.0795,1.07955,1.07915,1.07925,0.0004,0.0001,-0.00025,-0.00015,-0.00025,-0.0001,29
1.0795,1.07955,1.07915,1.07925,0.0004,0.0001,-0.00025,-0.00015,-0.00025,-0.0001,29
1.07965,1.08075,1.0796,1.08005,0.00115,0.0002,0.00035,0.00035,0.0004,0.0,29
1.08005,1.08035,1.07965,1.07995,0.0007,0.0004,-0.0004,5e-05,-0.0001,-0.00045,29
1.08005,1.08035,1.07965,1.07995,0.0007,0.0004,-0.0004,5e-05,-0.0001,-0.00045,29
1.08035,1.08085,1.0801,1.08075,0.00075,0.00015,0.0004,0.0002,0.0004,0.0002,29
1.08075,1.08105,1.0801,1.08075,0.00095,0.0004,0.0002,0.0,0.0,0.0002,29
1.0802,1.081,1.08005,1.0806,0.00095,-0.0002,0.00025,-0.0001,0.0004,0.00035,29
1.0795,1.07955,1.0792,1.07945,0.00035,-0.00015,-0.00025,-0.00025,-5e-05,-0.0,29
1.08145,1.0818,1.0807,1.0814,0.0011,0.002,-0.00055,0.0023,-5e-05,-0.00285,29
1.0814,1.0818,1.08005,1.0801,0.00175,-5e-05,0.0,-0.00065,-0.0013,0.00065,29
1.0814,1.0818,1.08005,1.0801,0.00175,-5e-05,0.0,-0.00065,-0.0013,0.00065,29
1.08035,1.08155,1.07975,1.07985,0.0018,0.00025,0.00095,0.00055,-0.0005,0.0004,29
1.0794,1.07945,1.07785,1.0782,0.0016,-0.00045,-0.0005,-0.00145,-0.0012,0.00095,29
1.0782,1.07975,1.0781,1.07945,0.00165,-0.0012,0.0003,0.00025,0.00125,5e-05,29
1.07995,1.0808,1.0798,1.0802,0.001,0.0005,0.00085,0.00075,0.00025,0.0001,29
1.0802,1.0809,1.07985,1.08065,0.00105,0.00025,0.0001,5e-05,0.00045,5e-05,29
1.0796,1.07985,1.0795,1.07965,0.00035,0.00045,0.0001,0.0005,5e-05,-0.0004,29
1.07965,1.08005,1.07955,1.0796,0.0005,5e-05,0.0002,5e-05,-5e-05,0.00015,29
1.0796,1.0804,1.07955,1.08025,0.00085,-5e-05,0.00035,0.0,0.00065,0.00035,29
1.07865,1.0787,1.07845,1.0787,0.00025,-0.00035,-0.00035,-0.0001,5e-05,-0.00025,39
1.0787,1.079,1.0787,1.0789,0.0003,5e-05,0.0003,0.00025,0.0002,5e-05,39
1.0789,1.0792,1.0789,1.07895,0.0003,0.0002,0.0002,0.0002,5e-05,-0.0,39
1.07855,1.07875,1.0774,1.07765,0.00135,0.00035,0.0002,-0.0005,-0.0009,0.0007,39
1.07765,1.0784,1.07765,1.07815,0.00075,-0.0009,-0.00035,0.00025,0.0005,-0.0006,39
1.07815,1.0786,1.07805,1.07855,0.00055,0.0005,0.0002,0.0004,0.0004,-0.0002,39
1.07815,1.0786,1.07805,1.07855,0.00055,0.0005,0.0002,0.0004,0.0004,-0.0002,39
1.07855,1.07878,1.0784,1.07865,0.00038,0.0004,0.00018,0.00035,0.0001,-0.00017,39
1.07855,1.0791,1.07855,1.079,0.00055,-0.0001,0.00035,0.0001,0.00045,0.00025,39
1.0794,1.0797,1.07915,1.0792,0.00055,0.0004,0.0002,0.0006,-0.0002,-0.0004,39
1.0792,1.0793,1.0789,1.07895,0.0004,-0.0002,-0.0004,-0.00025,-0.00025,-0.00015,39
1.07965,1.08,1.0795,1.07995,0.0005,0.00065,0.0003,0.0006,0.0003,-0.0003,39
1.07995,1.0805,1.0799,1.0802,0.0006,0.0003,0.0005,0.0004,0.00025,0.0001,39
1.08035,1.081,1.0803,1.0805,0.0007,0.00055,0.00055,0.0006,0.00015,-5e-05,39
1.0805,1.08065,1.08035,1.08045,0.0003,0.00015,-0.00035,5e-05,-5e-05,-0.0004,39
1.0807,1.08075,1.08035,1.08065,0.0004,0.0002,-0.00015,5e-05,-5e-05,-0.0002,39
1.08065,1.081,1.0806,1.08065,0.0004,-5e-05,0.00025,0.00025,0.0,0.0,39
1.08065,1.081,1.0806,1.08065,0.0004,-5e-05,0.00025,0.00025,0.0,0.0,39
1.08065,1.08075,1.0805,1.0807,0.00025,0.0,-0.00025,-0.0001,5e-05,-0.00015,39
1.0805,1.08075,1.08025,1.08035,0.0005,-5e-05,5e-05,5e-05,-0.00015,0.0,39
1.08035,1.0813,1.08035,1.0813,0.00095,-0.00015,0.00055,0.0001,0.00095,0.00045,39
1.0813,1.082,1.0812,1.0818,0.0008,0.00095,0.0007,0.00085,0.0005,-0.00015,39
1.0818,1.0829,1.08155,1.0828,0.00135,0.0005,0.0009,0.00035,0.001,0.00055,39
1.08515,1.08565,1.085,1.0856,0.00065,0.0004,0.00025,0.00035,0.00045,-0.0001,39
1.08505,1.08575,1.08485,1.0857,0.0009,0.0001,0.0004,-5e-05,0.00065,0.00045,39
1.0857,1.08585,1.0854,1.0858,0.00045,0.00065,0.0001,0.00055,0.0001,-0.00045,39
1.0858,1.08595,1.08555,1.0859,0.0004,0.0001,0.0001,0.00015,0.0001,-5e-05,39
1.0858,1.08595,1.08555,1.0859,0.0004,0.0001,0.0001,0.00015,0.0001,-5e-05,39
1.0859,1.08625,1.08585,1.0862,0.0004,0.0001,0.0003,0.0003,0.0003,0.0,39
1.08135,1.08135,1.081,1.0812,0.00035,-5e-05,-5e-05,-0.0001,-0.00015,5e-05,40
1.0812,1.08145,1.0812,1.08125,0.00025,-0.00015,0.0001,0.0002,5e-05,-0.0001,40
1.0812,1.08145,1.0812,1.08125,0.00025,-0.00015,0.0001,0.0002,5e-05,-0.0001,40
1.08125,1.0815,1.08125,1.08135,0.00025,5e-05,5e-05,5e-05,0.0001,0.0,40
1.08125,1.0815,1.08125,1.08135,0.00025,5e-05,5e-05,5e-05,0.0001,0.0,40
1.08075,1.08155,1.08075,1.08145,0.0008,-0.0004,0.0004,0.00015,0.0007,0.00025,40
1.08145,1.08205,1.08145,1.0819,0.0006,0.0007,0.0005,0.0007,0.00045,-0.0002,40
1.0819,1.08235,1.08185,1.08185,0.0005,0.00045,0.0003,0.0004,-5e-05,-0.0001,40
1.08105,1.08135,1.0806,1.08085,0.00075,0.0001,0.00025,0.0002,-0.0002,5e-05,40
1.08105,1.08135,1.0806,1.08085,0.00075,0.0001,0.00025,0.0002,-0.0002,5e-05,40
1.08085,1.0814,1.08085,1.0813,0.00055,-0.0002,5e-05,0.00025,0.00045,-0.0002,40
1.0813,1.0819,1.08115,1.0818,0.00075,0.00045,0.0005,0.0003,0.0005,0.0002,40
1.0818,1.0829,1.08175,1.0827,0.00115,0.0005,0.001,0.0006,0.0009,0.0004,40
1.08345,1.08375,1.08315,1.0833,0.0006,0.00085,0.00015,0.00055,-0.00015,-0.0004,40
1.0833,1.08425,1.08315,1.0842,0.0011,-0.00015,0.0005,0.0,0.0009,0.0005,40
1.084,1.08415,1.08345,1.08395,0.0007,-0.00075,-0.00075,-0.0005,-5e-05,-0.00025,40
1.08395,1.0845,1.08385,1.08415,0.00065,-5e-05,0.00035,0.0004,0.0002,-5e-05,40
1.08395,1.0845,1.08385,1.08415,0.00065,-5e-05,0.00035,0.0004,0.0002,-5e-05,40
1.08415,1.08455,1.0841,1.08425,0.00045,0.0002,5e-05,0.00025,0.0001,-0.0002,40
1.0834,1.0834,1.0825,1.08255,0.0009,-5e-05,-0.00015,-0.0007,-0.00085,0.00055,40
1.08255,1.0829,1.0818,1.0818,0.0011,-0.00085,-0.0005,-0.0007,-0.00075,0.0002,40
1.0818,1.0832,1.08145,1.0831,0.00175,-0.00075,0.0003,-0.00035,0.0013,0.00065,40
1.0831,1.0852,1.08275,1.08495,0.00245,0.0013,0.002,0.0013,0.00185,0.0007,40
1.08495,1.0879,1.0843,1.08775,0.0036,0.00185,0.0027,0.00155,0.0028,0.00115,40
1.08865,1.08925,1.08765,1.0891,0.0016,0.0012,-0.00015,0.00025,0.00045,-0.0004,40
1.08995,1.0912,1.0899,1.09045,0.0013,0.00085,0.0011,0.00105,0.0005,5e-05,40
1.09195,1.09285,1.0917,1.0928,0.00115,0.0009,0.0008,0.0007,0.00085,0.0001,40
1.0928,1.09345,1.09265,1.09345,0.0008,0.00085,0.0006,0.00095,0.00065,-0.00035,40
